length,width,quantity,code,polish_edge_l,polish_edge_w
69,25,16,a1b2c3d4,1,2
74,37,16,e5f6g7h8,1,0
45,25,16,i9j0k1l2,1,2
23,25,16,m3n4o5p6,1,2
80.875,25,2,q7r8s9t0,0,2
71,42,2,u1v2w3x4,1,2
82,25,2,y5z6a7b8,1,2
14,25,2,c9d0e1f2,0,2
82.75,25,0,g3h4i5j6,1,1
70,42,0,k7l8m9n0,1,1
41,25,0,o1p2q3r4,1,1
23,25,0,s5t6u7v8,1,1
82.75,25,2,w9x0y1z2,1,1
70,42,2,a3b4c5d6,0,1
41,25,2,e7f8g9h0,1,1
23,25,2,i1j2k3l4,1,1
72,25,2,m5n6o7p8,1,1
74,42,2,q9r0s1t2,1,0
54,25,2,u3v4w5x6,1,2
23,25,2,y7z8a9b0,1,2
72.75,25,0,c1d2e3f4,1,2
77,42,0,g5h6i7j8,1,2
54,25,0,k9l0m1n2,0,2
23,25,0,o3p4q5r6,2,0
72.75,25,2,s7t8u9v0,2,2
77,42,2,w1x2y3z4,2,2
54,25,2,a5b6c7d8,0,1
23,25,2,e9f0g1h2,2,1
69.75,25,2,i3j4k5l6,2,1
74,37,2,m7n8o9p0,0,1
45,25,2,q1r2s3t4,2,0
23,25,2,u5v6w7x8,2,1
84,25,26,y9z0a1b2,2,1
75,42,26,c3d4e5f6,0,2
45,25,26,g7h8i9j0,2,2
14,25,26,k1l2m3n4,1,2
111.75,42,4,o5p6q7r8,1,1
51,25,4,s9t0u1v2,1,0
48,25,4,w3x4y5z6,1,1
79.25,25,2,a7b8c9d0,0,1
76,42,2,e1f2g3h4,1,1
45,25,2,i5j6k7l8,1,1
11,25,2,m9n0o1p2,1,0
72,25,2,q3r4s5t6,1,1
71.5,42,2,u7v8w9x0,2,1
42,25,2,y1z2a3b4,2,2
26,25,2,c5d6e7f8,2,2
87,25,2,g9h0i1j2,2,2
69.75,25,2,k3l4m5n6,0,1
36,25,2,o7p8q9r0,2,1
86.75,25,2,s1t2u3v4,2,1
45,25,2,w5x6y7z8,2,1
59,42,2,a9b0c1d2,0,1
15,25,2,e3f4g5h6,2,1
108.75,37,4,e3f4g5h7,2,1
36.625,25,4,e3f4g5h8,3,2
33,25,4,e3f4g5h9,4,3
108.75,37,0,a1b2c3d4,1,2
36.625,25,0,e5f6g7h8,1,0
33,25,0,i9j0k1l2,1,2
98.25,25,2,m3n4o5p6,1,2
38,25,2,q7r8s9t0,0,2
9,25,2,u1v2w3x4,1,2
102,25,2,y5z6a7b8,1,2
38,25,2,c9d0e1f2,0,2
74,37,2,g3h4i5j6,1,1
9,25,2,k7l8m9n0,1,1
118.75,42,0,o1p2q3r4,1,1
24.625,25,0,s5t6u7v8,1,1
21,25,0,w9x0y1z2,1,1
118.75,42,0,a3b4c5d6,0,1
24.625,25,0,e7f8g9h0,1,1
21,25,0,i1j2k3l4,1,1
124.75,42,0,m5n6o7p8,1,1
